id|name|definition|target|comparisons|fixtures|metric|ablations|decision_use
R21.SOFT_CONTEXT|Context-dependent sequence mixtures|DEFERRED detailed Response: combine compatible R predictions by observed auction/volatility/flow state and coverage.|Calibrated shared path/value distributions.|Source hard alignment/gamma gates; uniform mixture; regularized soft gate.|Balance-to-trend transition, gamma uncertainty, correlated stages, missing expert and hard-gate missed winner.|Conditional calibration, collapse/diversity and complete augmented-policy gain.|Every Context/R source, hard/soft gating and direct C/L baseline.|Tests specialization without converting context assumptions into compulsory confirmation.
R22.BLINDED_DEFINITION|Source annotation reliability|DEFERRED detailed Response: separate visible facts, claimed mechanism, uncertainty and future numeric outcomes; use blinded prefix annotations.|Definitional agreement and source-to-numeric correspondence.|Numeric rule; independent blinded annotations; audited image-assisted extraction.|Future chart revealed, cropped scale, open versus realized P&L, caption sign conflict and pending order.|Field-level agreement/error and unresolved scope, not invented strategy accuracy.|Numeric-only versus annotation assistance; each uncertain source interpretation.|Tests whether a mechanism is defined reliably before training a recognizer for it.
V01.LABEL_COVERAGE|Candidate and label completeness|Link every formed/rejected/untraded opportunity to fixed target geometry, maturity, observation process and censor state.|Exact reachable/ordered/value/OI label population.|Independent literal labeler; optimized event labeler.|Same bar both barriers, gap, revised object, expiry absent, no-touch complete horizon and data outage.|Exact reference/bounded-ambiguity agreement and population reconciliation.|Label definition/horizon and observation process as registered sensitivities.|Ensures high signal scores are not created by dropping hard or untraded cases.
V02.LINEAGE|OOF graph and legal overlaps|Compile every learned dependency by fold/cut; purge forbidden label/fitted-state overlaps while allowing shared causal past observations.|Time-honest full-chain predictions and reproducible training state.|Expanding chronological reference; blocked sensitivity; nested OOF DAG.|Same date across assets split, future label maturity, stale in-sample upstream, legal shared lookback and long object life.|Zero role/cut violations, exact fold manifests and effective blocks.|Training window/embargo inside development; full-chain refit after upstream changes.|Tests every specialist and gate as it would actually be trained and served.
V03.SEARCH|Honest model/definition selection|Register information, definition, model and policy trials with budgets, primary metrics and confirmatory rules before outcomes.|Reproducible selected version and uncertainty accounting.|Small frozen grid; equal-budget random search; justified larger search as new trial family.|Renamed duplicate, unlogged failure, outer-test threshold change and omitted earlier attempts.|Complete trial ledger, nested selection and fixed-endpoint confirmation.|Search budget, selection method and information/model capacity separated.|Defines best supported among tested alternatives without claiming a global optimum.
V04.POWER|Useful-effect and sample-support decisions|Choose target/metric, useful effect and interval procedure from development economics; estimate required effective dates/reports/episodes.|Supported/not-met/inconclusive promotion and $2,000/day objective gap.|Fixed-endpoint baseline; justified preregistered sequential alternative.|Ordinary CI extended until positive, sparse subgroup, profitable peak stop, flat days excluded and risk breach.|Coverage assumptions, interval width, effective count and full objective accounting.|Dependence block, tail assumptions and useful-effect sensitivity disclosed.|Distinguishes weak signal from inadequate evidence without optional-stopping success claims.
V05.DRIFT|Component-specific drift and fallback|Separate schema/latency/missingness faults from feature, calibration, residual and execution drift with matured labels.|Detection delay, false intervention and adaptive-policy net/risk.|Seasonal bands; sequential score monitors; regularized anomaly challenger.|Feed outage resembles regime shift, delayed labels, recurring session, gate collapse and cost drift.|False alerts, recovery, fallback coverage and full-trajectory policy cost.|Monitor family, window, threshold and frozen incumbent.|Tests whether live deterioration is diagnosable at the right component.
V06.PREFIX_RESTART|End-to-end replay equivalence|Compare event-prefix hashes and numerical tolerances through measurements, models, objects, decisions and order state.|Causal and restart-equivalent outputs with declared arrival scenario.|Transparent reference replay; optimized streaming/captured-live replay.|Future suffix deletion, reorder ties, revision, checkpoint loss, model timeout and restart after send.|First divergence, exact state/counts and justified numeric tolerances.|Arrival/compute scenario, model version and optional source dropout.|Validates the complete chain rather than only isolated formulas.
V07.PLANTED_SIGNAL|Synthetic positive and null controls|Plant known predictive mechanisms in isolated synthetic observations and run labels/OOF/gates/selection; include future-only rejected fields.|Recoverable direction/policy effect in the synthetic setup only.|Known analytic signal; simple statistical learner; complete harness.|Known signal omitted from input, future planted field, high-score late confirmation and no-signal shuffled control.|Recovery versus known simulated effect and leakage rejection with simulation uncertainty.|Information strength, timing, noise, label horizon and selection stage.|Tests whether the harness can detect a controlled signal before blaming real-market information.
V07.ORACLE_SCOPE|Exact in-set diagnostic ceiling|For a finite action set and simulator, compute exact foresight dynamic programming with occupancy/cost/risk; distinguish relaxations and approximate search.|Best in-set hindsight value and gap attributable to candidate/selection constraints.|Always-flat and causal policy; exact finite-state oracle; separately labeled relaxed bound.|Overlapping winners both selected, missing cancel state, uncharged fees, beam search called upper bound and hindsight instrument switching.|Exact state/reward reconciliation and explicitly scoped bound inequalities.|Candidate set, timing, occupancy, cost and risk one at a time.|Diagnoses a bottleneck without presenting foresight or an unproven ceiling as attainable alpha.
V08.RESOURCE_FRONTIER|Measured accuracy, latency and resource tradeoffs|Reuse causal feature/OOF artifacts and benchmark CPU/tabular, surface and compact temporal trials under explicit RAM/storage/GPU caps.|Reproducibility and quality/value per feasible compute/latency budget.|CPU streaming baseline; vectorized/shared cache; justified compact GPU challenger.|Out-of-memory, disk full, interrupted job, missing GPU, stale cache and changing input hash.|Throughput/peak resources, restart success and downstream delay-adjusted quality.|Model size, history, feature compression, shared backbone and scheduling.|Tests whether added model sophistication improves the deployable system within measured resources.
